1.7597729	0.119191505	27.92381    3.654794921875
1.6809006	0.1477665	22.111145   3.674296569824219
1.6671053	0.09278985	23.560974   3.6697933959960936
1.7584063	0.09762391	27.325644   3.6786129760742186
1.7133036	0.10028517	24.536911   3.64739501953125
1.7532917	0.09821338	21.09763    3.6083795166015626
1.6754587	0.06559916	22.42426    3.6519598388671874
1.685422	0.08968083	32.628902   3.68863037109375
1.6656452	0.050143942	21.386726   3.7162060546875
1.6427603	0.08542166	25.124123   3.6548171997070313
1.7895565	0.120211184	34.70392    3.5858383178710938
1.6991966	0.10515411	22.45119    3.6681890869140625
1.6764834	0.10317743	22.889168   3.659234619140625
1.7382982	0.15081109	24.351772   3.6303921508789063
1.7340977	0.1274602	23.401411   3.653922424316406
1.7713373	0.09171424	23.990013   3.621966552734375

