1.6735092	0.08865785	23.178013     3.6792620849609374
1.7380012	0.15784284	26.278763     3.658045349121094
1.6925424	0.053702474	25.776157     3.665837707519531
1.7105112	0.08307641	36.568817     3.6820770263671876
1.7320168	0.08033887	21.593906     3.6135324096679686
1.7009608	0.10090717	25.825317     3.65517578125
1.6829885	0.09968533	25.22006      3.68630859375
1.7093894	0.13753247	21.38425      3.6712918090820312
1.6784614	0.12657455  20.999605	  3.631861572265625
1.7047405	0.05230983  25.654552	  3.6575885009765625
1.6729152	0.08252616  32.005325	  3.6447982788085938
1.7252991	0.0679272   47.468582	  3.611318359375
1.7825962	0.11845401  32.15976	  3.6147601318359377
1.7646347	0.095085174 27.997849	  3.6756512451171877
1.753677	0.1032918   41.187775	  3.589538879394531
1.6774292	0.06312093  26.607683	  3.626700744628906
